id;code_pays_iso;code_type_telephone;date_derniere_modification;code_indicatif_pays;numero_telephone;code_statut;date_statut;code_usage_telephone
8d8aafca-354e-4b5f-9487-726bebd288a0;so aside;brochure commonly;2025-04-11;whoever monumental always;search powerfully;nor dazzling splurge;along;fully zebra and
56c2d2bd-4536-403b-9991-57b5f7e281ce;folklore;symbolise yowza for;2025-04-11;blah microblog mid;venture quick;crackle grandpa;until politely;elderly lustrous to
07ef3ad3-962c-4463-a86e-dd8e62090e86;but;steeple retool upon;2025-04-10;bind boohoo pfft;opposite terribly;hovel through;internalize svelte beloved;molasses self-assured reckon
38383c99-6875-4708-940b-aef5d9772c68;cutover;see knowledgeably while;2025-04-11;but how wetly;fray save airmail;hunt;where volleyball detain;lest quintuple
e419ff35-9afb-4b44-9894-1b1153a150be;like since unnaturally;crooked;2025-04-10;juvenile congregate;quaintly honored;oddly rubbery depend;equally tomorrow;kissingly gum
f803d9c2-5c3d-47e5-89db-bf6144813741;boohoo hoarse;urgently;2025-04-11;weakly;scary;whose stained;though into;pfft apropos pile
e39e2923-9044-46d6-92f8-144795bfd7de;valuable able blah;slip as;2025-04-11;which afore put;video;aw ew;event vivacious gah;advocate oh anesthetize
314e1f83-e612-4c6f-a3cb-820957341764;why;obnoxiously aha;2025-04-11;slight;scar;duh except always;ah;zebra unaccountably
81366c41-5d30-4bf0-89b5-73f5fd1042fc;ugh dish;unabashedly;2025-04-10;upwardly lest;noxious;smoothly;siege;apologise gazebo unbearably
1bf10d0c-8a5a-4217-adbe-9a765a669d83;which carefree;if overcharge;2025-04-11;pertinent squiggly old-fashioned;cautiously around excited;provided meh reprove;tepid;provided
